"Q4 - Please confirm the location of your current place of work, and also where this would ideally be for you?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[Current place of work]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US,United Kingdom,India,France,Germany,Japan,United Arab Emirates,Brazil,Saudi Arabia,Australia,18-24,25-34,35-44,45-54,55-65,65 plus,Gen Z,Millennials,Gen X,Baby Boomers,Female,Male,<10,'10-49,50-99,100-500,501-1000,1000+,Full Time,Part Time,Contract,Freelance,Automotive,Business administration/support services,Technology,Construction,Consumer Goods,Education,"Energy & Utilities e.g. oil, electricity, gas",Financial Services,Government,Healthcare,Manufacturing/ industrial,"Marketing services e.g. advertising, PR, design",Not-for-profit,Legal (in-house),Legal (agency),Life sciences,Professional Services,Real Estate & Property Services,Retail,Sales,Telecommunications,Transport & storage (inc. postal),"Travel, Hospitality and Leisure",Wholesale & Distribution,Other,CEO,Senior Executive,Senior Leader,Mid-Level Leader,First Level Supervisor / Manager,Individual Contributor,Single,Co-habiting,Married,Divorced / separated,Widowed,Secondary,Tertiary,Professional Certifications,Under-graduate degree,Post-graduate / Master's degree,Doctorate / Phd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Total Respondents,15188,2018,2016,2025,2013,2028,1026,501,1017,513,2031,1109,4099,4576,3031,1987,386,2344,7059,4512,1251,7162,7995,561,576,593,1079,3069,7043,12357,2183,240,408,445,351,2024,601,250,996,264,1151,871,1598,997,263,132,73,57,74,460,165,1065,406,408,534,416,241,1346,477,1752,1902,2985,3205,4867,4127,1823,8193,839,125,2210,1427,2429,4667,4084,371
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-time in office,59%,64%,52%,61%,60%,48%,70%,64%,57%,67%,60%,59%,60%,58%,58%,58%,58%,61%,59%,58%,59%,57%,60%,39%,62%,55%,62%,61%,59%,61%,52%,40%,26%,66%,48%,58%,55%,66%,65%,48%,51%,49%,69%,67%,54%,51%,27%,63%,45%,47%,52%,69%,54%,49%,63%,68%,63%,52%,46%,62%,58%,58%,63%,57%,58%,54%,61%,58%,61%,59%,61%,56%,60%,59%,55%
Full-time remote,10%,15%,12%,8%,6%,8%,4%,10%,13%,12%,10%,11%,10%,9%,9%,10%,13%,10%,9%,9%,11%,11%,9%,24%,11%,13%,8%,8%,8%,8%,14%,19%,35%,6%,15%,9%,12%,9%,9%,11%,11%,7%,8%,5%,14%,8%,5%,9%,9%,14%,12%,8%,15%,13%,8%,10%,9%,14%,19%,7%,8%,8%,8%,12%,12%,10%,8%,13%,10%,13%,10%,10%,10%,8%,8%
Hybrid work (blend of working from home and office),27%,17%,33%,27%,30%,35%,19%,22%,29%,18%,27%,21%,27%,29%,28%,25%,23%,23%,29%,28%,23%,27%,27%,26%,22%,26%,25%,27%,29%,28%,23%,27%,28%,24%,32%,31%,27%,18%,22%,38%,37%,41%,18%,24%,30%,36%,66%,26%,45%,36%,33%,16%,27%,34%,22%,18%,20%,26%,30%,28%,31%,31%,26%,23%,25%,32%,28%,23%,20%,21%,23%,26%,28%,31%,35%
Unsure,4%,4%,3%,3%,4%,10%,7%,4%,2%,4%,3%,8%,3%,4%,4%,6%,6%,6%,3%,5%,7%,5%,4%,10%,6%,6%,5%,3%,4%,3%,11%,14%,11%,4%,4%,2%,6%,7%,4%,3%,2%,3%,5%,5%,2%,5%,1%,2%,1%,3%,3%,7%,4%,3%,7%,5%,8%,8%,5%,2%,2%,3%,3%,8%,6%,5%,3%,7%,9%,7%,6%,8%,3%,2%,2%
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%