QUESTION,RESPONSE,age_18-24,age_25-34,age_35-44,age_45-54,age_55-65,gender_female,gender_male,region_north,region_northeast,region_central_west,region_southeast,region_south,employment_status_full_time,employment_status_part_time,employment_status_self_employed,org_size_fewer_than_10,org_size_10_to_49,org_size_50_to_99,org_size_100_to_249,org_size_250_to_499,org_size_500_to_999,org_size_1000_or_more,sector_business_administration,sector_technology,sector_education,sector_financial_services,sector_government,sector_marketing_services,sector_retail,sector_telecommunications,sector_other,job_level_CEO,job_level_senior_executive,job_level_senior_leader,job_level_mid_level_leader,job_level_first_level_supervisor,job_level_individual_contributor,education_secondary,education_tertiary,education_undergraduate,education_postgraduate,education_doctorate
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it paid me the salary I want, even if I hated the role",NET: Disagree,26%,23%,25%,31%,42%,30%,24%,31%,24%,20%,28%,30%,24%,27%,37%,33%,25%,27%,18%,27%,21%,27%,26%,25%,22%,22%,31%,37%,30%,23%,30%,30%,21%,29%,26%,25%,29%,23%,43%,26%,26%,32%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it allowed me flexibility, even if I hated the role",NET: Agree,49%,61%,57%,48%,43%,55%,54%,51%,59%,64%,53%,51%,56%,55%,50%,53%,54%,53%,58%,47%,67%,53%,62%,60%,53%,57%,40%,46%,58%,50%,46%,59%,63%,49%,61%,59%,46%,60%,44%,53%,54%,61%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it allowed me flexibility, even if I hated the role",NET: Disagree,28%,22%,24%,29%,43%,29%,24%,36%,23%,19%,27%,28%,24%,25%,33%,32%,28%,24%,24%,29%,17%,24%,21%,23%,26%,22%,31%,29%,29%,13%,36%,25%,22%,30%,22%,24%,31%,20%,40%,27%,26%,32%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it granted me opportunities to progress and upskill quickly, even if I hated the current role",NET: Agree,76%,72%,69%,68%,58%,67%,72%,76%,73%,67%,68%,69%,71%,74%,63%,68%,70%,67%,73%,67%,82%,64%,73%,72%,66%,73%,58%,71%,65%,77%,64%,68%,80%,68%,68%,69%,67%,72%,70%,66%,69%,74%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it granted me opportunities to progress and upskill quickly, even if I hated the current role",NET: Disagree,12%,11%,16%,20%,29%,21%,11%,13%,13%,9%,18%,18%,14%,22%,20%,20%,17%,18%,10%,17%,8%,16%,15%,15%,16%,20%,16%,14%,17%,3%,20%,19%,10%,14%,15%,15%,18%,15%,18%,16%,16%,16%
4. To what extent do you agree or disagree with the following statements? - I feel supported and encouraged to learn new skills and work on my own professional development,NET: Agree,74%,79%,76%,76%,71%,80%,73%,78%,78%,74%,76%,74%,75%,70%,82%,76%,77%,75%,74%,77%,81%,75%,76%,86%,76%,71%,58%,77%,81%,67%,75%,82%,82%,76%,69%,80%,70%,76%,73%,73%,77%,87%
4. To what extent do you agree or disagree with the following statements? - I feel supported and encouraged to learn new skills and work on my own professional development,NET: Disagree,11%,7%,7%,11%,8%,10%,7%,13%,5%,6%,8%,11%,9%,8%,5%,9%,10%,7%,7%,14%,4%,7%,8%,3%,10%,12%,13%,11%,9%,10%,8%,5%,5%,10%,9%,6%,12%,9%,19%,9%,6%,3%
4. To what extent do you agree or disagree with the following statements? - I feel confident I could easily find a new role if I left my current company in the next few months,NET: Agree,56%,71%,68%,65%,57%,66%,68%,64%,74%,69%,65%,62%,70%,58%,61%,61%,69%,63%,76%,71%,75%,63%,73%,73%,59%,53%,47%,71%,72%,57%,60%,67%,78%,74%,63%,69%,59%,67%,65%,65%,67%,76%
4. To what extent do you agree or disagree with the following statements? - I feel confident I could easily find a new role if I left my current company in the next few months,NET: Disagree,18%,10%,11%,15%,16%,13%,11%,11%,10%,14%,12%,17%,11%,16%,15%,15%,10%,20%,12%,4%,5%,14%,7%,9%,12%,14%,27%,9%,12%,7%,20%,13%,9%,7%,15%,12%,15%,11%,16%,14%,12%,11%
4. To what extent do you agree or disagree with the following statements? - I feel excited and positive about how emerging technologies like AI will change the way I work,NET: Agree,65%,72%,72%,71%,68%,70%,72%,76%,73%,60%,72%,67%,71%,75%,70%,67%,72%,67%,65%,86%,78%,70%,73%,81%,60%,65%,62%,80%,70%,70%,71%,76%,74%,75%,74%,74%,61%,69%,74%,66%,72%,84%
4. To what extent do you agree or disagree with the following statements? - I feel excited and positive about how emerging technologies like AI will change the way I work,NET: Disagree,16%,10%,9%,6%,8%,11%,8%,13%,7%,10%,9%,10%,9%,9%,10%,12%,8%,14%,10%,3%,5%,9%,4%,7%,15%,10%,11%,9%,9%,13%,8%,8%,8%,7%,9%,8%,12%,9%,14%,10%,8%,11%
4. To what extent do you agree or disagree with the following statements? - I think using AI in my role will bolster my value in the next three years,NET: Agree,54%,61%,68%,62%,51%,62%,62%,58%,67%,63%,62%,54%,64%,59%,57%,55%,57%,58%,67%,71%,66%,70%,65%,77%,53%,53%,47%,66%,65%,70%,58%,69%,70%,66%,64%,64%,50%,62%,58%,55%,64%,74%
4. To what extent do you agree or disagree with the following statements? - I think using AI in my role will bolster my value in the next three years,NET: Disagree,18%,16%,9%,13%,17%,14%,12%,22%,15%,16%,11%,16%,12%,16%,16%,17%,16%,11%,11%,7%,10%,11%,11%,8%,19%,18%,13%,14%,12%,13%,14%,14%,9%,7%,10%,12%,19%,13%,17%,14%,13%,8%
4. To what extent do you agree or disagree with the following statements? - I feel certain that my role will be replaced by AI/tech in the next three years,NET: Agree,37%,40%,43%,36%,26%,38%,39%,42%,42%,35%,40%,32%,40%,44%,33%,34%,43%,42%,45%,31%,45%,36%,45%,38%,32%,45%,18%,40%,45%,40%,33%,46%,48%,34%,43%,38%,32%,47%,27%,33%,38%,50%
4. To what extent do you agree or disagree with the following statements? - I feel certain that my role will be replaced by AI/tech in the next three years,NET: Disagree,48%,37%,38%,39%,46%,40%,38%,40%,34%,36%,40%,44%,39%,35%,40%,39%,37%,37%,33%,53%,37%,40%,31%,45%,47%,37%,44%,34%,39%,23%,42%,35%,33%,44%,37%,43%,40%,28%,51%,42%,41%,47%
4. To what extent do you agree or disagree with the following statements? - Leaders value people over profits,NET: Agree,52%,54%,57%,48%,49%,53%,53%,53%,56%,59%,53%,46%,56%,56%,44%,47%,58%,54%,55%,50%,60%,54%,61%,57%,40%,55%,42%,46%,59%,57%,47%,60%,66%,49%,48%,57%,45%,54%,58%,51%,51%,71%
4. To what extent do you agree or disagree with the following statements? - Leaders value people over profits,NET: Disagree,27%,26%,21%,27%,33%,26%,24%,24%,23%,22%,25%,28%,24%,24%,29%,31%,22%,23%,19%,33%,20%,24%,18%,20%,34%,33%,33%,29%,26%,37%,20%,21%,16%,24%,20%,24%,35%,25%,29%,27%,25%,16%
4. To what extent do you agree or disagree with the following statements? - Connection with my colleagues is one of the most important things about my job,NET: Agree,65%,71%,79%,68%,70%,76%,69%,69%,75%,72%,73%,68%,73%,81%,66%,66%,74%,76%,73%,77%,81%,71%,76%,74%,75%,73%,60%,86%,65%,70%,71%,78%,73%,68%,76%,73%,68%,72%,74%,68%,73%,87%
4. To what extent do you agree or disagree with the following statements? - Connection with my colleagues is one of the most important things about my job,NET: Disagree,16%,11%,8%,12%,8%,8%,12%,7%,9%,12%,9%,14%,10%,7%,12%,12%,9%,13%,7%,6%,5%,12%,7%,10%,13%,10%,13%,3%,13%,10%,10%,8%,11%,10%,6%,8%,14%,9%,10%,13%,10%,5%
4. To what extent do you agree or disagree with the following statements? - I feel that the job I do reflects my value to society,NET: Agree,72%,76%,77%,75%,76%,79%,73%,64%,79%,77%,76%,75%,76%,79%,75%,71%,77%,78%,77%,81%,83%,74%,80%,80%,79%,65%,71%,86%,86%,67%,72%,82%,81%,78%,71%,79%,69%,75%,71%,71%,79%,79%
4. To what extent do you agree or disagree with the following statements? - I feel that the job I do reflects my value to society,NET: Disagree,11%,6%,4%,5%,5%,6%,5%,9%,4%,10%,5%,6%,7%,5%,3%,6%,10%,7%,4%,4%,3%,4%,8%,4%,10%,8%,4%,,1%,7%,5%,3%,5%,6%,8%,5%,7%,7%,12%,5%,4%,3%
4. To what extent do you agree or disagree with the following statements? - It is important to me that the organization I work for prioritizes people over profit,NET: Agree,74%,78%,75%,77%,78%,78%,75%,69%,82%,74%,76%,75%,78%,77%,72%,71%,79%,78%,69%,83%,81%,79%,73%,80%,75%,80%,71%,83%,80%,87%,73%,72%,80%,77%,73%,80%,76%,77%,68%,74%,78%,84%
4. To what extent do you agree or disagree with the following statements? - It is important to me that the organization I work for prioritizes people over profit,NET: Disagree,9%,5%,6%,5%,1%,7%,4%,13%,5%,4%,5%,7%,4%,12%,7%,8%,7%,6%,3%,9%,2%,3%,8%,6%,1%,2%,7%,,4%,3%,3%,8%,4%,7%,6%,2%,6%,5%,14%,3%,5%,3%
4. To what extent do you agree or disagree with the following statements? - My current role leaves me feeling fulfilled,NET: Agree,63%,70%,74%,73%,74%,74%,70%,73%,78%,63%,72%,64%,72%,71%,71%,65%,73%,72%,70%,76%,81%,73%,71%,78%,76%,63%,51%,74%,77%,67%,67%,82%,73%,73%,71%,79%,59%,71%,68%,68%,73%,87%
4. To what extent do you agree or disagree with the following statements? - My current role leaves me feeling fulfilled,NET: Disagree,16%,13%,10%,10%,11%,14%,9%,11%,7%,17%,11%,16%,12%,12%,9%,14%,14%,14%,7%,9%,8%,10%,10%,7%,12%,14%,18%,9%,7%,23%,14%,7%,7%,11%,8%,9%,19%,12%,19%,13%,10%,8%
4. To what extent do you agree or disagree with the following statements? - I am totally competent and deliver what is needed in my role,NET: Agree,77%,89%,84%,91%,84%,89%,84%,87%,84%,89%,86%,88%,86%,86%,88%,86%,89%,83%,84%,90%,91%,84%,88%,85%,91%,90%,78%,94%,90%,83%,86%,85%,82%,80%,89%,92%,87%,85%,83%,86%,88%,82%
4. To what extent do you agree or disagree with the following statements? - I am totally competent and deliver what is needed in my role,NET: Disagree,6%,2%,3%,3%,1%,2%,4%,4%,4%,4%,3%,3%,3%,4%,3%,4%,2%,8%,3%,1%,2%,2%,4%,2%,1%,,4%,,1%,3%,3%,5%,3%,5%,4%,2%,2%,4%,6%,3%,2%,5%
4. To what extent do you agree or disagree with the following statements? - I have imposter syndrome and feel I am stretched too far beyond my abilities,NET: Agree,44%,39%,43%,31%,24%,38%,37%,38%,40%,47%,37%,32%,40%,43%,30%,33%,40%,44%,42%,33%,47%,34%,49%,38%,32%,37%,20%,40%,36%,30%,33%,39%,43%,29%,38%,43%,34%,41%,29%,38%,37%,45%
4. To what extent do you agree or disagree with the following statements? - I have imposter syndrome and feel I am stretched too far beyond my abilities,NET: Disagree,35%,37%,38%,46%,54%,41%,40%,40%,38%,35%,42%,40%,39%,37%,46%,42%,43%,40%,35%,49%,32%,40%,30%,39%,46%,41%,44%,29%,36%,53%,46%,39%,33%,49%,39%,40%,41%,36%,44%,39%,43%,29%
5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - I feel that I can be my full self around my co-workers.,NET: Agree,62%,75%,74%,73%,72%,74%,73%,67%,79%,68%,73%,72%,74%,77%,70%,66%,72%,78%,76%,83%,80%,74%,75%,79%,69%,76%,82%,83%,75%,57%,67%,75%,78%,73%,74%,79%,66%,71%,71%,70%,76%,79%
5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - I feel that I can be my full self around my co-workers.,NET: Disagree,18%,12%,11%,13%,9%,14%,10%,22%,8%,10%,13%,15%,13%,11%,11%,16%,14%,12%,12%,11%,5%,11%,10%,7%,18%,8%,13%,6%,10%,17%,14%,10%,6%,18%,8%,10%,17%,12%,19%,15%,11%,5%
5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - I’m comfortable discussing my personal life with my colleagues,NET: Agree,46%,53%,55%,50%,39%,47%,56%,38%,62%,46%,52%,45%,56%,53%,39%,39%,50%,53%,59%,60%,64%,56%,54%,59%,41%,47%,44%,43%,55%,37%,48%,54%,64%,55%,54%,53%,41%,52%,42%,42%,54%,79%
5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - I’m comfortable discussing my personal life with my colleagues,NET: Disagree,32%,28%,26%,32%,38%,34%,25%,40%,23%,30%,28%,38%,26%,27%,40%,40%,30%,32%,23%,26%,19%,24%,24%,25%,37%,24%,31%,34%,25%,50%,35%,27%,19%,28%,29%,28%,37%,31%,44%,35%,25%,13%
"5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - If a problem in my personal life is affecting my work/performance, I feel comfortable telling my manager about it",NET: Agree,46%,64%,68%,64%,61%,61%,66%,56%,67%,60%,64%,61%,67%,63%,55%,55%,67%,68%,60%,71%,73%,63%,61%,67%,62%,65%,56%,66%,61%,57%,61%,62%,75%,62%,71%,67%,55%,62%,57%,61%,65%,74%
"5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - If a problem in my personal life is affecting my work/performance, I feel comfortable telling my manager about it",NET: Disagree,30%,17%,15%,19%,22%,20%,17%,27%,11%,17%,19%,22%,18%,16%,21%,24%,16%,19%,18%,16%,10%,18%,18%,14%,21%,20%,27%,26%,16%,23%,18%,16%,8%,21%,13%,18%,25%,19%,29%,22%,16%,8%
5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - I feel that my ideas and opinions will be welcomed by company leaders,NET: Agree,61%,75%,74%,71%,70%,75%,70%,67%,78%,72%,72%,68%,74%,79%,66%,66%,72%,80%,71%,81%,81%,71%,76%,80%,75%,69%,60%,71%,68%,67%,65%,75%,86%,70%,79%,78%,60%,71%,71%,66%,75%,84%
5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - I feel that my ideas and opinions will be welcomed by company leaders,NET: Disagree,18%,10%,9%,10%,8%,10%,10%,20%,7%,12%,10%,12%,11%,11%,8%,12%,13%,11%,8%,9%,7%,9%,13%,3%,13%,10%,22%,11%,4%,13%,10%,9%,6%,14%,7%,6%,16%,9%,21%,14%,8%,8%
5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - I am comfortable talking to my manager about needs related to my health and wellbeing,NET: Agree,49%,68%,73%,72%,67%,66%,72%,60%,71%,62%,71%,68%,72%,70%,60%,61%,64%,69%,71%,77%,80%,73%,64%,80%,63%,69%,76%,69%,65%,60%,65%,67%,78%,72%,68%,76%,60%,68%,64%,65%,70%,89%
5. To what extent do you agree or disagree with the following statements when thinking about expressing yourself freely at work? - I am comfortable talking to my manager about needs related to my health and wellbeing,NET: Disagree,23%,15%,12%,16%,16%,17%,13%,20%,13%,16%,15%,17%,14%,18%,17%,21%,19%,9%,14%,14%,8%,11%,19%,8%,25%,14%,11%,14%,12%,23%,17%,16%,9%,16%,14%,11%,20%,16%,19%,18%,14%,3%
"6. To what extent do you think your company is committed to greater inclusion and social responsibility? - Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace?",NET: Not committed narly/quite enough,38%,30%,30%,29%,21%,30%,30%,33%,28%,44%,28%,31%,30%,36%,27%,34%,37%,34%,23%,27%,27%,23%,36%,28%,24%,24%,36%,31%,28%,27%,27%,25%,29%,24%,28%,32%,35%,33%,23%,31%,30%,21%
"6. To what extent do you think your company is committed to greater inclusion and social responsibility? - Is your company committed to Diversity, Equity & Inclusion (DE&I) in the workplace?",NET: Slightly / far too committed,22%,27%,30%,23%,22%,29%,25%,18%,31%,22%,27%,25%,30%,14%,20%,18%,18%,26%,36%,26%,42%,32%,21%,34%,29%,35%,13%,26%,26%,33%,28%,32%,38%,36%,20%,28%,17%,19%,29%,27%,28%,47%
6. To what extent do you think your company is committed to greater inclusion and social responsibility? - Is your company committed to corporate social responsibility and sustainability goals?,NET: Not committed narly/quite enough,41%,30%,26%,27%,21%,29%,28%,33%,25%,41%,26%,32%,27%,37%,29%,35%,33%,32%,26%,30%,19%,21%,36%,18%,21%,24%,36%,34%,30%,37%,30%,23%,28%,21%,29%,29%,35%,32%,30%,32%,26%,24%
6. To what extent do you think your company is committed to greater inclusion and social responsibility? - Is your company committed to corporate social responsibility and sustainability goals?,NET: Slightly / far too committed,18%,30%,30%,25%,24%,28%,28%,13%,33%,22%,29%,23%,32%,14%,21%,17%,19%,29%,38%,27%,46%,33%,28%,38%,22%,39%,13%,29%,23%,23%,26%,34%,42%,34%,21%,31%,15%,23%,21%,26%,31%,39%
7. How confident are you in the senior leadership in your company? Please remember your answers are confidential!,NET: Confident,78%,89%,88%,85%,89%,86%,88%,84%,88%,88%,87%,88%,88%,84%,87%,85%,85%,91%,95%,93%,89%,84%,90%,92%,78%,84%,82%,94%,96%,80%,86%,91%,92%,91%,88%,90%,79%,89%,79%,87%,87%,89%
7. How confident are you in the senior leadership in your company? Please remember your answers are confidential!,NET: Unconfident,20%,9%,11%,14%,9%,12%,11%,13%,12%,10%,12%,11%,11%,14%,10%,13%,14%,7%,5%,7%,10%,14%,10%,8%,21%,16%,18%,6%,3%,13%,10%,7%,8%,8%,11%,10%,18%,9%,18%,12%,12%,8%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Agree,60%,72%,72%,74%,80%,72%,72%,67%,81%,67%,71%,67%,71%,71%,73%,69%,73%,74%,77%,74%,78%,66%,79%,80%,68%,61%,60%,86%,72%,73%,65%,80%,86%,69%,68%,76%,61%,74%,60%,68%,73%,87%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Disagree,17%,11%,12%,10%,11%,14%,9%,16%,9%,9%,12%,14%,13%,12%,9%,13%,13%,7%,7%,14%,8%,14%,9%,5%,16%,16%,18%,9%,6%,13%,15%,5%,7%,16%,11%,8%,19%,8%,21%,15%,11%,3%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Agree,57%,69%,67%,68%,74%,67%,68%,64%,76%,58%,67%,65%,68%,70%,65%,61%,70%,74%,73%,66%,77%,63%,75%,78%,60%,63%,40%,69%,65%,60%,62%,79%,83%,69%,69%,73%,49%,66%,60%,66%,68%,87%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Disagree,11%,14%,13%,14%,12%,16%,10%,16%,8%,16%,13%,17%,14%,10%,12%,15%,13%,9%,7%,13%,11%,17%,10%,9%,19%,20%,22%,17%,9%,13%,13%,6%,8%,15%,11%,10%,22%,10%,18%,14%,15%,3%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Agree,62%,70%,74%,70%,76%,72%,70%,69%,77%,67%,71%,70%,70%,73%,74%,69%,71%,66%,71%,77%,80%,70%,74%,80%,60%,73%,51%,80%,77%,70%,67%,78%,84%,76%,74%,74%,57%,71%,65%,68%,73%,84%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Disagree,16%,10%,10%,10%,12%,12%,9%,16%,9%,9%,10%,13%,12%,8%,7%,11%,12%,8%,11%,13%,9%,9%,13%,4%,15%,8%,22%,14%,6%,10%,13%,6%,4%,9%,10%,8%,17%,8%,18%,12%,10%,5%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Agree,70%,77%,78%,82%,82%,79%,77%,71%,84%,77%,77%,76%,78%,73%,80%,76%,80%,79%,84%,80%,86%,71%,78%,84%,74%,75%,60%,94%,86%,73%,76%,82%,88%,77%,81%,82%,68%,76%,73%,80%,79%,79%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Disagree,6%,10%,9%,7%,7%,11%,6%,18%,5%,10%,8%,11%,9%,8%,6%,9%,7%,7%,5%,6%,7%,12%,7%,4%,15%,10%,20%,,6%,7%,9%,5%,3%,9%,4%,7%,14%,7%,17%,8%,8%,5%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Agree,72%,71%,72%,72%,78%,72%,73%,64%,79%,69%,72%,68%,72%,71%,74%,70%,72%,69%,75%,77%,79%,71%,71%,80%,75%,63%,71%,77%,70%,67%,67%,78%,83%,77%,75%,74%,60%,74%,64%,63%,75%,84%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Disagree,11%,13%,12%,12%,9%,15%,10%,20%,8%,19%,12%,13%,14%,11%,7%,13%,16%,14%,8%,9%,9%,12%,13%,7%,19%,10%,13%,14%,7%,10%,9%,5%,7%,12%,11%,13%,18%,11%,23%,14%,11%,5%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Agree,68%,73%,75%,71%,76%,75%,72%,67%,81%,74%,71%,72%,74%,74%,71%,70%,71%,75%,79%,76%,80%,71%,75%,81%,66%,59%,58%,80%,81%,63%,72%,83%,81%,75%,74%,77%,60%,73%,70%,73%,73%,79%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Disagree,15%,9%,9%,10%,11%,10%,10%,18%,7%,9%,9%,15%,11%,7%,9%,11%,11%,7%,3%,13%,10%,11%,12%,5%,12%,20%,18%,6%,4%,17%,7%,5%,8%,12%,7%,6%,17%,9%,13%,10%,10%,13%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Agree,70%,71%,70%,67%,70%,70%,70%,64%,78%,72%,69%,64%,70%,70%,70%,66%,72%,69%,71%,77%,79%,64%,76%,76%,56%,63%,44%,66%,80%,63%,67%,76%,84%,73%,66%,70%,60%,73%,65%,71%,67%,84%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Disagree,15%,12%,10%,9%,8%,13%,8%,22%,8%,10%,10%,12%,12%,7%,9%,12%,11%,14%,5%,11%,9%,10%,7%,5%,24%,14%,24%,11%,6%,10%,7%,6%,3%,8%,12%,12%,15%,8%,17%,11%,11%,11%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Agree,68%,72%,71%,68%,63%,71%,69%,58%,76%,63%,69%,73%,70%,70%,70%,68%,69%,71%,70%,73%,81%,64%,73%,80%,56%,65%,40%,77%,74%,73%,68%,81%,80%,74%,75%,70%,56%,73%,64%,64%,71%,82%
"18. Thinking about how motivated you are in your current role, to what extent do you agree with the following statements.",NET: Disagree,17%,12%,11%,14%,18%,14%,12%,27%,10%,15%,12%,15%,14%,12%,11%,14%,16%,12%,10%,10%,9%,15%,11%,6%,19%,18%,31%,11%,13%,13%,10%,5%,8%,8%,14%,13%,22%,10%,25%,13%,13%,5%