Question,Response,age_18-24,age_25-34,age_35-44,age_45-54,gender_female,gender_male,region_the_emirate_of_the_makkah_province_(mecca_region),region_the_emirate_of_the_eastern_province,region_the_emirate_of_the_riyadh_region,region_abu_dhabi,region_dubai,region_sharjah,employment_status_full_time,employment_status_part_time,employment_status_self_employed,org_size_fewer_than_10,org_size_10_to_49,org_size_50_to_99,org_size_100_to_249,org_size_250_to_499,org_size_500_to_999,org_size_1000_or_more,role_permanent,role_part_time_PAYE,role_contract_interim,role_freelance,sector_business_administration_support_services,sector_technology,sector_construction,sector_education,sector_financial_services,sector_government,sector_healthcare_life_sciences,sector_manufacturing_industrial,sector_real_estate_property_services,sector_telecommunications,sector_wholesale_distribution,sector_other,job_level_CEO,job_level_senior_executive,job_level_senior_leader,job_level_mid_level_leader,job_level_first_level_supervisor_manager,job_level_individual_contributor_non_leader,relationship_status_single,relationship_status_married,education_secondary,education_tertiary,education_undergraduate_degree,education_postgraduate_masters_degree,,
,Lack of job security (employment contract),0.23,0.25,0.23,0.27,0.23,0.25,0.22,0.21,0.29,0.24,0.2,0.21,0.25,0.21,0.17,0.14,0.24,0.21,0.26,0.25,0.26,0.26,0.25,0.19,0.25,0.18,0.26,0.24,0.21,0.23,0.31,0.14,0.21,0.31,0.28,0.26,0.21,0.28,0.2,0.25,0.16,0.28,0.28,0.18,0.2,0.25,0.09,0.12,0.26,0.24,,
,Poor company culture or values,0.27,0.22,0.24,0.23,0.23,0.23,0.24,0.26,0.21,0.27,0.23,0.16,0.22,0.27,0.31,0.3,0.28,0.15,0.25,0.26,0.24,0.2,0.23,0.26,0.18,0.21,0.24,0.22,0.23,0.18,0.32,0.2,0.13,0.24,0.28,0.13,0.21,0.23,0.21,0.22,0.25,0.25,0.23,0.26,0.24,0.23,0.19,0.35,0.22,0.27,,
,Full-time in-office attendance is being mandated,0.19,0.23,0.23,0.24,0.24,0.23,0.26,0.19,0.25,0.19,0.23,0.3,0.23,0.22,0.22,0.21,0.25,0.18,0.22,0.3,0.24,0.23,0.24,0.24,0.2,0.16,0.16,0.29,0.29,0.23,0.22,0.29,0.29,0.18,0.28,0.13,0.28,0.23,0.29,0.21,0.22,0.23,0.24,0.21,0.2,0.25,0.21,0.24,0.23,0.25,,
,Long or difficult commute to office,0.19,0.25,0.22,0.2,0.24,0.21,0.2,0.18,0.26,0.22,0.22,0.18,0.22,0.25,0.26,0.25,0.29,0.24,0.23,0.16,0.3,0.15,0.21,0.21,0.27,0.39,0.26,0.15,0.2,0.21,0.26,0.22,0.19,0.16,0.26,0.18,0.14,0.28,0.28,0.23,0.18,0.2,0.23,0.25,0.24,0.23,0.16,0.2,0.24,0.19,,
,High number of recent layoffs,0.18,0.23,0.22,0.21,0.2,0.23,0.17,0.13,0.25,0.26,0.24,0.13,0.23,0.2,0.14,0.13,0.16,0.2,0.24,0.26,0.24,0.25,0.23,0.19,0.18,0.24,0.25,0.26,0.22,0.21,0.21,0.1,0.21,0.39,0.31,0.18,0.23,0.15,0.25,0.19,0.23,0.21,0.23,0.19,0.22,0.22,0.26,0.2,0.22,0.21,,
,Inadequate learning and development opportunities,0.19,0.22,0.22,0.18,0.2,0.22,0.25,0.15,0.23,0.23,0.17,0.23,0.22,0.15,0.26,0.2,0.23,0.15,0.22,0.26,0.18,0.23,0.21,0.21,0.2,0.29,0.18,0.2,0.2,0.23,0.24,0.29,0.29,0.27,0.18,0.18,0.16,0.2,0.28,0.21,0.24,0.18,0.19,0.21,0.22,0.21,0.2,0.24,0.19,0.25,,
,Lack of diversity and inclusion within the company,0.18,0.21,0.2,0.21,0.23,0.2,0.23,0.19,0.2,0.22,0.21,0.3,0.22,0.2,0.15,0.16,0.2,0.25,0.18,0.24,0.24,0.19,0.21,0.18,0.27,0.21,0.19,0.18,0.3,0.19,0.26,0.2,0.33,0.14,0.23,0.18,0.19,0.17,0.21,0.2,0.18,0.25,0.2,0.2,0.21,0.22,0.26,0.16,0.22,0.19,,
,Poor sustainability policies and practices within the company,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.17,0.22,0.17,0.21,0.2,0.2,0.24,0.14,0.22,0.15,0.17,0.19,0.24,0.2,0.22,0.2,0.2,0.17,0.18,0.19,0.25,0.12,0.22,0.22,0.12,0.25,0.08,0.21,0.18,0.33,0.2,0.21,0.22,0.15,0.22,0.19,0.19,0.21,0.2,0.13,0.24,0.21,0.2,,
,Employer will relocate to a different area,0.17,0.21,0.16,0.14,0.21,0.17,0.25,0.21,0.21,0.17,0.13,0.23,0.17,0.23,0.19,0.13,0.21,0.15,0.16,0.2,0.25,0.19,0.19,0.18,0.15,0.18,0.21,0.16,0.21,0.16,0.16,0.29,0.15,0.12,0.21,0.16,0.12,0.26,0.24,0.23,0.11,0.17,0.19,0.17,0.15,0.19,0.19,0.16,0.17,0.24,,
,Inadequate non-financial benefits,0.14,0.15,0.18,0.18,0.17,0.16,0.17,0.14,0.15,0.15,0.16,0.25,0.16,0.15,0.21,0.09,0.17,0.15,0.17,0.17,0.17,0.21,0.15,0.21,0.17,0.18,0.19,0.17,0.13,0.22,0.16,0.16,0.08,0.22,0.15,0.21,0.19,0.15,0.22,0.22,0.18,0.16,0.09,0.18,0.13,0.18,0.17,0.18,0.16,0.14,,
,No allowance for full-time remote working,0.16,0.17,0.15,0.17,0.16,0.16,0.17,0.1,0.14,0.19,0.18,0.11,0.16,0.19,0.17,0.16,0.16,0.14,0.12,0.16,0.2,0.19,0.15,0.19,0.2,0.21,0.19,0.19,0.1,0.15,0.18,0.12,0.15,0.1,0.05,0.24,0.16,0.18,0.15,0.19,0.13,0.16,0.13,0.21,0.18,0.15,0.16,0.16,0.15,0.18,,
,Lack of affordable childcare during working hours,0.13,0.16,0.12,0.07,0.16,0.12,0.14,0.05,0.14,0.15,0.17,0.05,0.13,0.16,0.1,0.09,0.13,0.12,0.19,0.13,0.16,0.09,0.13,0.16,0.1,0.03,0.18,0.11,0.04,0.16,0.16,0.16,0.1,0.16,0.03,0.08,0.16,0.13,0.14,0.16,0.14,0.13,0.13,0.09,0.11,0.14,0.09,0.12,0.13,0.14,,
,Other (please specify),0.01,,,,0,0,0.01,,,,,,0,,,,,,,0.01,,0.01,0,,,,0.01,,,,,,0.02,,,,,,0.01,,0.01,,,,,0,,,0,,,
4_1. The values a company promotes are extremely important to me,Agree,0.75,0.82,0.87,0.82,0.85,0.82,0.86,0.73,0.84,0.88,0.81,0.82,0.83,0.82,0.83,0.85,0.79,0.75,0.8,0.91,0.88,0.87,0.85,0.79,0.75,0.87,0.84,0.82,0.78,0.9,0.9,0.75,0.85,0.78,0.82,0.74,0.86,0.84,0.86,0.87,0.81,0.79,0.85,0.81,0.77,0.85,0.66,0.9,0.82,0.89,,
,Disagree,0.05,0.04,0.03,0.04,0.03,0.05,0.02,0.03,0.05,0.03,0.06,0.03,0.04,0.04,0.04,0.02,0.05,0.06,0.05,0.01,0.02,0.03,0.03,0.06,0.07,0.03,0.05,0.02,0.06,0.03,0.03,0.06,,0.1,0.03,0.03,0.05,0.02,0.02,0.03,0.05,0.05,0.04,0.03,0.05,0.03,0.09,,0.04,0.01,,
4_2. The ability to work flexibly and from wherever I want is critical to my work-life balance,Agree,0.7,0.84,0.84,0.86,0.86,0.81,0.85,0.77,0.86,0.83,0.8,0.89,0.83,0.83,0.85,0.89,0.79,0.78,0.81,0.87,0.86,0.86,0.84,0.82,0.73,0.89,0.8,0.8,0.89,0.8,0.84,0.73,0.83,0.76,0.92,0.89,0.88,0.85,0.87,0.83,0.79,0.83,0.84,0.81,0.77,0.85,0.71,0.84,0.84,0.84,,
,Disagree,0.09,0.04,0.05,0.05,0.04,0.05,0.05,0.08,0.04,0.05,0.06,0.03,0.05,0.05,0.06,0.05,0.11,0.06,0.05,0.02,0.03,0.03,0.04,0.06,0.12,0.03,0.06,0.06,0.01,0.07,0.03,0.14,0.08,0.02,0.08,,0.07,0.06,0.06,0.02,0.09,0.03,0.06,0.05,0.08,0.04,0.11,0.1,0.04,0.05,,
4_3. It is important that a company understands the importance of the benefits that come alongside a salary,Agree,0.66,0.86,0.86,0.87,0.89,0.82,0.87,0.74,0.83,0.86,0.86,0.85,0.85,0.85,0.86,0.87,0.82,0.82,0.78,0.9,0.91,0.86,0.86,0.78,0.8,0.84,0.81,0.87,0.91,0.84,0.82,0.69,0.96,0.8,0.79,0.79,0.86,0.9,0.85,0.87,0.82,0.85,0.84,0.85,0.77,0.87,0.74,0.84,0.86,0.84,,
,Disagree,0.08,0.04,0.02,0.04,0.02,0.05,0.02,0.06,0.04,0.03,0.05,0.02,0.04,0.01,0.05,0.01,0.06,0.06,0.06,0.02,0.02,0.04,0.04,0.05,0.07,0.03,0.07,0.03,0.02,0.05,0.09,0.08,,0.04,0.05,0.03,0.07,0.01,0.06,0.04,0.05,0.04,0.03,0.03,0.06,0.03,0.07,0.06,0.03,0.04,,
"4_4. I would stay at a job if it paid me the salary I want, even if I hated the role",Agree,0.72,0.72,0.69,0.69,0.71,0.71,0.76,0.6,0.7,0.74,0.7,0.75,0.71,0.69,0.76,0.8,0.69,0.62,0.67,0.71,0.78,0.74,0.7,0.73,0.72,0.68,0.74,0.75,0.69,0.71,0.63,0.67,0.63,0.69,0.67,0.79,0.77,0.77,0.75,0.74,0.69,0.72,0.67,0.7,0.7,0.71,0.56,0.84,0.71,0.7,,
,Disagree,0.09,0.11,0.13,0.12,0.12,0.12,0.08,0.17,0.15,0.08,0.14,0.1,0.13,0.1,0.08,0.02,0.16,0.13,0.15,0.09,0.11,0.14,0.13,0.07,0.13,0.13,0.11,0.12,0.16,0.09,0.13,0.16,0.17,0.16,0.18,0.05,0.12,0.12,0.1,0.12,0.15,0.11,0.13,0.1,0.12,0.12,0.1,0.04,0.13,0.12,,
"4_5. I would stay at a job if it allowed me flexibility, even if I hated the role",Agree,0.75,0.71,0.64,0.62,0.67,0.68,0.69,0.6,0.67,0.67,0.68,0.8,0.68,0.65,0.73,0.67,0.65,0.63,0.66,0.74,0.71,0.7,0.69,0.65,0.65,0.66,0.75,0.76,0.62,0.64,0.66,0.61,0.52,0.69,0.59,0.68,0.67,0.73,0.77,0.76,0.68,0.67,0.63,0.57,0.67,0.68,0.53,0.71,0.69,0.68,,
,Disagree,0.11,0.09,0.15,0.12,0.14,0.1,0.13,0.12,0.12,0.12,0.14,0.05,0.11,0.13,0.1,0.1,0.14,0.14,0.11,0.13,0.09,0.1,0.12,0.12,0.12,0.11,0.06,0.09,0.16,0.1,0.06,0.12,0.23,0.16,0.18,0.13,0.09,0.13,0.06,0.11,0.14,0.12,0.13,0.12,0.09,0.13,0.06,0.06,0.12,0.14,,
"4_6. I would stay at a job if it granted me opportunities to progress and upskill quickly, even if I hated the current role",Agree,0.77,0.82,0.75,0.66,0.81,0.76,0.83,0.74,0.78,0.83,0.73,0.79,0.77,0.81,0.76,0.84,0.74,0.69,0.76,0.81,0.83,0.79,0.78,0.77,0.77,0.68,0.75,0.75,0.79,0.75,0.78,0.75,0.75,0.82,0.79,0.84,0.77,0.84,0.74,0.81,0.77,0.76,0.78,0.78,0.77,0.78,0.61,0.8,0.79,0.78,,
,Disagree,0.08,0.06,0.1,0.15,0.08,0.08,0.08,0.09,0.08,0.07,0.11,0.03,0.08,0.07,0.12,0.05,0.14,0.13,0.06,0.06,0.07,0.07,0.09,0.07,0.07,0.13,0.09,0.08,0.09,0.1,0.07,0.08,0.15,0.06,0.08,0.05,0.07,0.07,0.09,0.08,0.12,0.07,0.08,0.08,0.08,0.08,0.09,0.06,0.08,0.1,,
4_7. I feel supported and encouraged to learn new skills and work on my own professional development,Agree,0.77,0.8,0.81,0.76,0.83,0.78,0.83,0.67,0.81,0.83,0.8,0.84,0.81,0.81,0.72,0.74,0.78,0.72,0.78,0.91,0.85,0.82,0.82,0.78,0.68,0.63,0.82,0.82,0.83,0.79,0.88,0.65,0.81,0.71,0.69,0.82,0.86,0.83,0.86,0.86,0.81,0.81,0.78,0.68,0.7,0.83,0.71,0.86,0.81,0.79,,
,Disagree,0.06,0.04,0.04,0.05,0.04,0.05,0.03,0.09,0.05,0.03,0.04,0.05,0.05,0.04,0.05,0.05,0.03,0.08,0.04,0.01,0.04,0.05,0.04,0.03,0.1,0.08,0.06,0.03,0.03,0.03,0.01,0.16,0.02,0.16,0.05,0.03,0.05,0.06,0.04,0.02,0.04,0.03,0.06,0.09,0.06,0.04,0.1,,0.04,0.03,,
4_8. I feel confident I could easily find a new role if I left my current company in the next few months,Agree,0.72,0.77,0.74,0.63,0.75,0.74,0.72,0.62,0.74,0.74,0.79,0.8,0.76,0.68,0.65,0.69,0.64,0.69,0.76,0.84,0.8,0.74,0.77,0.69,0.63,0.63,0.73,0.81,0.8,0.68,0.72,0.59,0.75,0.76,0.82,0.79,0.67,0.77,0.73,0.81,0.79,0.74,0.71,0.64,0.67,0.77,0.6,0.76,0.74,0.78,,
,Disagree,0.16,0.07,0.12,0.11,0.12,0.09,0.11,0.09,0.09,0.12,0.08,0.1,0.09,0.15,0.15,0.15,0.14,0.12,0.09,0.02,0.09,0.09,0.09,0.11,0.13,0.24,0.07,0.05,0.03,0.17,0.13,0.25,0.1,0.12,0.08,0.03,0.19,0.07,0.1,0.07,0.08,0.09,0.11,0.16,0.15,0.08,0.14,0.08,0.11,0.08,,
4_9. AI - I feel excited and positive about how emerging technologies like AI will change the way I work,Agree,0.7,0.81,0.78,0.74,0.82,0.76,0.81,0.68,0.8,0.79,0.78,0.8,0.79,0.76,0.77,0.85,0.76,0.71,0.74,0.83,0.85,0.79,0.8,0.77,0.7,0.71,0.75,0.8,0.89,0.79,0.78,0.73,0.71,0.76,0.82,0.89,0.74,0.82,0.83,0.87,0.82,0.73,0.78,0.64,0.72,0.81,0.61,0.82,0.81,0.77,,
,Disagree,0.08,0.05,0.05,0.04,0.05,0.05,0.05,0.1,0.02,0.04,0.04,0.03,0.05,0.06,0.05,0.07,0.09,0.06,0.08,0.01,0.02,0.04,0.05,0.05,0.08,0.08,0.06,0.08,0.02,0.01,0.03,0.08,0.06,0.06,0.03,,0.07,0.05,0.03,0.02,0.05,0.02,0.06,0.16,0.07,0.04,0.11,0.04,0.04,0.06,,
4_10. AI - I think using AI in my role will bolster my value in the next three years,Agree,0.75,0.74,0.7,0.61,0.74,0.71,0.77,0.67,0.74,0.72,0.69,0.75,0.71,0.73,0.73,0.67,0.73,0.68,0.7,0.73,0.75,0.75,0.74,0.69,0.57,0.68,0.66,0.72,0.73,0.76,0.78,0.63,0.63,0.73,0.77,0.74,0.65,0.8,0.78,0.8,0.73,0.71,0.68,0.6,0.7,0.72,0.73,0.76,0.71,0.75,,
,Disagree,0.09,0.06,0.1,0.13,0.07,0.1,0.08,0.13,0.08,0.07,0.07,0.08,0.08,0.1,0.1,0.1,0.12,0.08,0.09,0.06,0.07,0.08,0.07,0.11,0.15,0.13,0.08,0.11,0.02,0.06,0.07,0.12,0.04,0.12,0.13,0.05,0.12,0.07,0.07,0.05,0.07,0.09,0.09,0.16,0.08,0.08,0.04,0.12,0.08,0.1,,
4_11. AI - I feel certain that my role will be replaced by AI/tech in the next three years,Agree,0.52,0.56,0.51,0.45,0.54,0.51,0.51,0.53,0.48,0.59,0.52,0.56,0.52,0.51,0.53,0.51,0.57,0.46,0.52,0.57,0.51,0.52,0.52,0.61,0.38,0.47,0.53,0.54,0.48,0.45,0.56,0.51,0.4,0.51,0.46,0.71,0.6,0.55,0.68,0.65,0.6,0.48,0.41,0.36,0.46,0.54,0.49,0.63,0.5,0.57,,
,Disagree,0.19,0.21,0.26,0.33,0.23,0.26,0.25,0.27,0.21,0.25,0.24,0.3,0.25,0.24,0.18,0.21,0.21,0.31,0.24,0.24,0.26,0.24,0.26,0.15,0.32,0.13,0.15,0.27,0.33,0.32,0.18,0.24,0.38,0.29,0.31,0.13,0.16,0.26,0.2,0.17,0.23,0.25,0.3,0.32,0.23,0.25,0.13,0.18,0.27,0.24,,
4_12. Leaders value people over profits,Agree,0.73,0.76,0.74,0.79,0.78,0.73,0.79,0.76,0.79,0.77,0.67,0.84,0.76,0.76,0.71,0.73,0.74,0.72,0.72,0.83,0.83,0.73,0.77,0.73,0.67,0.71,0.75,0.72,0.81,0.79,0.78,0.73,0.71,0.71,0.74,0.71,0.74,0.82,0.75,0.84,0.75,0.75,0.74,0.64,0.64,0.79,0.61,0.9,0.75,0.77,,
,Disagree,0.11,0.09,0.1,0.06,0.08,0.11,0.11,0.06,0.07,0.12,0.11,0.1,0.09,0.08,0.17,0.13,0.12,0.1,0.12,0.05,0.07,0.1,0.09,0.09,0.1,0.21,0.14,0.1,0.06,0.07,0.07,0.16,0.15,0.14,0.1,0.08,0.12,0.01,0.1,0.05,0.11,0.1,0.09,0.15,0.17,0.07,0.19,0.04,0.1,0.08,,
4_13. Connection with my colleagues is one of the most important things about my job,Agree,0.74,0.8,0.82,0.8,0.81,0.8,0.81,0.68,0.83,0.81,0.82,0.79,0.82,0.76,0.71,0.7,0.84,0.71,0.82,0.84,0.83,0.84,0.82,0.78,0.67,0.68,0.74,0.78,0.88,0.79,0.84,0.63,0.94,0.76,0.79,0.87,0.84,0.78,0.83,0.85,0.77,0.82,0.84,0.64,0.74,0.82,0.66,0.82,0.81,0.84,,
,Disagree,0.07,0.07,0.06,0.05,0.05,0.07,0.07,0.06,0.05,0.07,0.04,0.1,0.05,0.09,0.13,0.12,0.08,0.1,0.04,0.02,0.06,0.03,0.05,0.09,0.1,0.13,0.08,0.05,0.04,0.07,0.06,0.08,0.02,0.14,0.05,0.03,0.05,0.06,0.07,0.05,0.05,0.05,0.04,0.13,0.09,0.04,0.16,0.06,0.06,0.03,,
4_14. I feel that the job I do reflects my value to society,Agree,0.7,0.75,0.79,0.8,0.82,0.73,0.72,0.76,0.79,0.76,0.76,0.82,0.77,0.73,0.74,0.7,0.76,0.73,0.73,0.77,0.87,0.79,0.78,0.73,0.63,0.71,0.8,0.69,0.81,0.79,0.78,0.67,0.79,0.69,0.79,0.71,0.7,0.8,0.77,0.81,0.77,0.79,0.77,0.62,0.68,0.79,0.63,0.82,0.77,0.78,,
,Disagree,0.08,0.08,0.06,0.04,0.06,0.08,0.11,0.04,0.06,0.05,0.08,0.1,0.07,0.09,0.04,0.08,0.1,0.07,0.09,0.08,0.03,0.06,0.07,0.09,0.08,0.05,0.07,0.1,0.09,0.05,0.1,0.12,0.08,0.08,0.03,0.08,0.09,0.04,0.07,0.07,0.08,0.07,0.06,0.09,0.08,0.07,0.1,0.06,0.07,0.07,,
4_15. It is important to me that the organization I work for prioritizes people over profit,Agree,0.72,0.83,0.82,0.81,0.86,0.79,0.76,0.73,0.83,0.83,0.83,0.89,0.82,0.76,0.81,0.85,0.73,0.8,0.82,0.85,0.82,0.82,0.83,0.77,0.77,0.82,0.85,0.78,0.86,0.82,0.82,0.76,0.83,0.86,0.82,0.84,0.77,0.87,0.82,0.85,0.83,0.81,0.8,0.76,0.73,0.84,0.66,0.8,0.82,0.84,,
,Disagree,0.06,0.04,0.04,0.03,0.04,0.05,0.05,0.05,0.05,0.02,0.04,0.05,0.03,0.09,0.04,0.01,0.09,0.04,0.04,0.04,0.02,0.04,0.04,0.06,0.05,0.03,0.01,0.08,0.06,0.04,0.01,0.08,0.04,0.04,0.05,0.03,0.02,,0.07,0.02,0.03,0.06,0.03,0.06,0.08,0.03,0.06,0.04,0.04,0.05,,
4_16. My current role leaves me feeling fulfilled,Agree,0.72,0.77,0.76,0.76,0.8,0.74,0.8,0.72,0.77,0.78,0.75,0.75,0.76,0.77,0.73,0.7,0.72,0.75,0.76,0.83,0.83,0.73,0.77,0.74,0.7,0.66,0.76,0.72,0.79,0.77,0.79,0.71,0.9,0.71,0.77,0.74,0.7,0.8,0.81,0.87,0.76,0.78,0.72,0.58,0.67,0.79,0.67,0.78,0.76,0.78,,
,Disagree,0.08,0.06,0.07,0.06,0.05,0.07,0.03,0.09,0.07,0.04,0.06,0.1,0.07,0.07,0.05,0.05,0.07,0.08,0.09,0.02,0.05,0.07,0.06,0.07,0.07,0.11,0.08,0.11,0.04,0.06,0.04,0.12,0.04,0.1,0.05,0.05,0.05,0.04,0.05,0.03,0.08,0.07,0.06,0.13,0.1,0.05,0.09,0.06,0.07,0.05,,
